Region,MainIsland,TotalBudget,MedianSavings,AvgDelay,HighDelayPct,EfficiencyScore
National Capital Region,Luzon,37374807552.77,323263.60,274.59,99.87,100.00
Region X,Mindanao,21108791834.06,117252.72,363.40,100.00,27.41
Region VIII,Visayas,18757160567.23,61098.65,261.73,100.00,19.83
Region IX,Mindanao,4292690070.72,49482.39,347.53,100.00,12.09
Region XII,Mindanao,11853038840.21,19118.15,272.37,100.00,5.96
Region II,Luzon,22492433992.21,10000.00,255.12,100.00,3.33
Region IV-B,Luzon,22432789116.38,2975.63,267.13,99.69,0.95
Region III,Luzon,62517911971.79,2244.01,215.60,100.00,0.88
Cordillera Administrative Region,Luzon,14557082197.87,2461.79,240.49,100.00,0.87
Region I,Luzon,24127224108.76,1870.63,229.63,98.61,0.69
Region IV-A,Luzon,34613010963.02,738.37,256.53,99.85,0.24
Region VI,Visayas,19178049284.75,845.39,313.51,100.00,0.23
Region V,Luzon,42471531344.45,236.28,237.27,100.00,0.08
Region XIII,Mindanao,18686741373.37,202.65,329.91,100.00,0.05
Region VII,Visayas,27449467562.05,28.30,250.73,99.79,0.01
Region XI,Mindanao,17878556404.67,0.31,291.57,100.00,0.00
